#string_protein_id	preferred_name	protein_size	annotation
10090.ENSMUSP00000084606	Gm10203	66	Predicted gene 10203.
10090.ENSMUSP00000084617	Cryge	174	Gamma-crystallin E; Crystallins are the dominant structural components of the vertebrate eye lens.
10090.ENSMUSP00000084633	Adam23	829	Disintegrin and metalloproteinase domain-containing protein 23; May play a role in cell-cell and cell-matrix interactions. This is a non-catalytic metalloprotease-like protein (By similarity).
10090.ENSMUSP00000084656	Kcnip4	250	Kv channel-interacting protein 4; Regulatory subunit of Kv4/D (Shal)-type voltage-gated rapidly inactivating A-type potassium channels, such as KCND2/Kv4.2 and KCND3/Kv4.3. Modulates channel expression at the cell membrane, gating characteristics, inactivation kinetics and rate of recovery from inactivation in a calcium-dependent and isoform-specific manner; Belongs to the recoverin family.
10090.ENSMUSP00000084663	Morc4	928	MORC family CW-type zinc finger protein 4.
10090.ENSMUSP00000084701	Bmpr2	1038	Bone morphogenetic protein receptor type-2; On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Binds to BMP7, BMP2 and, less efficiently, BMP4. Binding is weak but enhanced by the presence of type I receptors for BMPs. Mediates induction of adipogenesis by GDF6.
10090.ENSMUSP00000084713	Tuba3b	450	Detyrosinated tubulin alpha-3 chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain; Belongs to the tubulin family.
10090.ENSMUSP00000084772	Col11a2	1650	Collagen alpha-2(XI) chain; May play an important role in fibrillogenesis by controlling lateral growth of collagen II fibrils; Belongs to the fibrillar collagen family.
10090.ENSMUSP00000084788	Tmem128	163	Transmembrane protein 128.
10090.ENSMUSP00000084791	Lyar	388	Cell growth-regulating nucleolar protein; Plays a role in the maintenance of the appropriate processing of 47S/45S pre-rRNA to 32S/30S pre-rRNAs and their subsequent processing to produce 18S and 28S rRNAs (By similarity). Also acts at the level of transcription regulation. Along with PRMT5, binds embryonic globin promoter (By similarity). Represses the expression of embryonic globin Hbb-y gene. In neuroblastoma cells, may also repress the expression of oxidative stress genes, including CHAC1, HMOX1, SLC7A11, ULBP1 and that encoding the small nucleolar RNA SNORD41 (By similarity). Pref [...] 
10090.ENSMUSP00000084794	Dido1	2256	Death-inducer obliterator 1; Required for early embryonic stem cell development (By similarity). Putative transcription factor, weakly pro-apoptotic when overexpressed.
10090.ENSMUSP00000084799	Nif3l1	376	NIF3-like protein 1; May function as a transcriptional corepressor through its interaction with COPS2, negatively regulating the expression of genes involved in neuronal differentiation.
10090.ENSMUSP00000084823	B3galt4	371	Beta-1,3-galactosyltransferase 4; Involved in GM1/GD1B/GA1 ganglioside biosynthesis. Belongs to the glycosyltransferase 31 family.
10090.ENSMUSP00000084838	Tspan6	245	Tetraspanin-6.
10090.ENSMUSP00000084846	Aldoa	418	Fructose-bisphosphate aldolase A; Plays a key role in glycolysis and gluconeogenesis. In addition, may also function as scaffolding protein (By similarity). Belongs to the class I fructose-bisphosphate aldolase family.
10090.ENSMUSP00000084857	Trpm3	1721	Transient receptor potential cation channel, subfamily M, member 3.
10090.ENSMUSP00000084868	Boll	293	Protein boule-like; Probable RNA-binding protein, which may be required during spermatogenesis. May act by binding to the 3'-UTR of mRNAs and regulating their translation (By similarity); Belongs to the RRM DAZ family.
10090.ENSMUSP00000084882	Gda	454	Guanine deaminase; Catalyzes the hydrolytic deamination of guanine, producing xanthine and ammonia; Belongs to the metallo-dependent hydrolases superfamily. ATZ/TRZ family.
10090.ENSMUSP00000084887	Myo1f	1098	Unconventional myosin-If; Myosins are actin-based motor molecules with ATPase activity. Unconventional myosins serve in intracellular movements. Their highly divergent tails are presumed to bind to membranous compartments, which would be moved relative to actin filaments (By similarity). Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family.
10090.ENSMUSP00000084904	Plekha5	1269	Pleckstrin homology domain-containing, family A member 5.
10090.ENSMUSP00000084905	Adamts10	1104	A disintegrin and metalloproteinase with thrombospondin motifs 10; Metalloprotease that participate in microfibrils assembly. Microfibrils are extracellular matrix components occurring independently or along with elastin in the formation of elastic tissues (By similarity).
10090.ENSMUSP00000084910	Htra3	459	Serine protease HTRA3; Serine protease that cleaves beta-casein/CSN2 as well as several extracellular matrix (ECM) proteoglycans such as decorin/DCN, biglycan/BGN and fibronectin/FN1. Inhibits signaling mediated by TGF- beta family proteins possibly indirectly by degradation of these ECM proteoglycans. May act as a tumor suppressor. Negatively regulates, in vitro, trophoblast invasion during placental development and may be involved in the development of the placenta in vivo. May also have a role in ovarian development, granulosa cell differentiation and luteinization (By similarity).
10090.ENSMUSP00000084936	Zfp763	588	Zinc finger protein 763.
10090.ENSMUSP00000084949	Zfp952	504	Zinc finger protein 952.
10090.ENSMUSP00000084958	Hmx1	332	Homeobox protein HMX1; DNA-binding protein that binds to the 5'-CAAG-3' core sequence. May function as a transcriptional repressor. Seems to act as a transcriptional antagonist of NKX2-5. May play an important role in the development of craniofacial structures such as the eye and ear. Belongs to the HMX homeobox family.
10090.ENSMUSP00000084959	Dera	318	Deoxyribose-phosphate aldolase; Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy-D-ribose 5- phosphate. Participates in stress granule (SG) assembly. May allow ATP production from extracellular deoxyinosine in conditions of energy deprivation.
10090.ENSMUSP00000084977	Prune2	3084	Protein prune homolog 2; May play an important role in regulating differentiation, survival and aggressiveness of the tumor cells.
10090.ENSMUSP00000085006	H4c11	103	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.
10090.ENSMUSP00000085013	Ephx3	424	Epoxide hydrolase 3; Catalyzes the hydrolysis of epoxide-containing fatty acids. Active in vitro against epoxyeicosatrienoic acids (EETs) including 8,9- EET, 9,10-EET, 11,12-EET and 14,15-EET and leukotoxin. Belongs to the AB hydrolase superfamily. Epoxide hydrolase family.
10090.ENSMUSP00000085016	Notch3	2318	Neurogenic locus notch homolog protein 3; Functions as a receptor for membrane-bound ligands Jagged1, Jagged2 and Delta1 to regulate cell-fate determination. Upon ligand activation through the released notch intracellular domain (NICD) it forms a transcriptional activator complex with RBPJ/RBPSUH and activates genes of the enhancer of split locus. Affects the implementation of differentiation, proliferation and apoptotic programs (By similarity). May play a role during CNS development.
10090.ENSMUSP00000085022	Gsg1	368	Germ cell-specific gene 1 protein; May cause the redistribution of PAPOLB from the cytosol to the endoplasmic reticulum; Belongs to the GSG1 family.
10090.ENSMUSP00000085030	Tnip2	430	TNFAIP3-interacting protein 2; Inhibits NF-kappa-B activation by blocking the interaction of RIPK1 with its downstream effector NEMO/IKBKG. Forms a ternary complex with NFKB1 and MAP3K8 but appears to function upstream of MAP3K8 in the TLR4 signaling pathway that regulates MAP3K8 activation. Involved in activation of the MEK/ERK signaling pathway during innate immune response; this function seems to be stimulus- and cell type specific. Required for stability of MAP3K8. Involved in regulation of apoptosis in endothelial cells; promotes TEK agonist-stimulated endothelial survival. May ac [...] 
10090.ENSMUSP00000085071	Olfr1453	307	Olfactory receptor.
10090.ENSMUSP00000085113	Olfr1436	315	Olfactory receptor.
10090.ENSMUSP00000085120	Olfr262	312	Olfactory receptor.
10090.ENSMUSP00000085159	Prb1	504	Proline-rich protein BstNI subfamily 1.
10090.ENSMUSP00000085170	Uvssa	717	UV-stimulated scaffold protein A; Factor involved in transcription-coupled nucleotide excision repair (TC-NER) in response to UV damage. TC-NER allows RNA polymerase II-blocking lesions to be rapidly removed from the transcribed strand of active genes. Acts by promoting stabilization of ERCC6 by recruiting deubiquitinating enzyme USP7 to TC-NER complexes, preventing UV-induced degradation of ERCC6 by the proteasome. Interacts with the elongating form of RNA polymerase II (RNA pol IIo) and facilitates its ubiquitination at UV damage sites, leading to promote RNA pol IIo backtracking to  [...] 
10090.ENSMUSP00000085175	Uprt	310	Uracil phosphoribosyltransferase homolog.
10090.ENSMUSP00000085187	Nexmif	1515	Neurite extension and migration factor; Involved in neurite outgrowth by regulating cell-cell adhesion via the N-cadherin signaling pathway. May act by regulating expression of protein-coding genes, such as N-cadherins and integrin beta-1 (ITGB1).
10090.ENSMUSP00000085192	Col3a1	1464	Collagen alpha-1(III) chain; Collagen type III occurs in most soft connective tissues along with type I collagen. Involved in regulation of cortical development. Is the major ligand of ADGRG1 in the developing brain and binding to ADGRG1 inhibits neuronal migration and activates the RhoA pathway by coupling ADGRG1 to GNA13 and possibly GNA12.
10090.ENSMUSP00000085218	Stx16	326	Syntaxin-16; SNARE involved in vesicular transport from the late endosomes to the trans-Golgi network; Belongs to the syntaxin family.
10090.ENSMUSP00000085226	Hdac8	377	Histone deacetylase 8; Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. Histone deacetylases act via the formation of large multiprotein complexes. Also involved in the deacetylation of cohesin complex protein SMC3 regulating release of cohesin complexes from chromatin. May play a role in smooth muscle cell contractility (By similarity); Belongs to th [...] 
10090.ENSMUSP00000085234	Ms4a15	245	Membrane-spanning 4-domains subfamily A member 15; May be involved in signal transduction as a component of a multimeric receptor complex; Belongs to the MS4A family.
10090.ENSMUSP00000085244	Tpp2	1262	Tripeptidyl-peptidase 2; Component of the proteolytic cascade acting downstream of the 26S proteasome in the ubiquitin-proteasome pathway. May be able to complement the 26S proteasome function to some extent under conditions in which the latter is inhibited (By similarity). Stimulates adipogenesis.
10090.ENSMUSP00000085253	Rab44	725	Ras-related protein Rab-44.
10090.ENSMUSP00000085260	Med12	2190	Mediator of RNA polymerase II transcription subunit 12; Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. This subunit may specifi [...] 
10090.ENSMUSP00000085263	Cbln4	198	Cerebellin-4; Acts as a synaptic organizer in specific subsets of neurons in the brain. Essential for the formation and maintenance of inhibitory GABAergic synapses. Promotes the development of dendrite-targeting inhibitory GABAergic synapses made by somatostatin-positive interneurons. May contribute to the function of ventral medial habenula region of the brain implicated in the regulation of anxiety-related behaviors. May play a role in CBLN3 export from the endoplasmic reticulum and secretion.
10090.ENSMUSP00000085285	Zfp64	676	Zinc finger protein 64; May be involved in transcriptional regulation.
10090.ENSMUSP00000085293	S1pr3	378	Sphingosine 1-phosphate receptor 3; Receptor for the lysosphingolipid sphingosine 1-phosphate (S1P). S1P is a bioactive lysophospholipid that elicits diverse physiological effect on most types of cells and tissues.
10090.ENSMUSP00000085299	Dlg3	849	Disks large homolog 3; Required for learning most likely through its role in synaptic plasticity following NMDA receptor signaling.
10090.ENSMUSP00000085311	Krt77	572	Keratin, type II cytoskeletal 1b.
10090.ENSMUSP00000085316	Adnp	1108	Activity-dependent neuroprotector homeobox protein; Potential transcription factor. May mediate some of the neuroprotective peptide VIP-associated effects involving normal growth and cancer proliferation.
10090.ENSMUSP00000085325	Gtf3c2	907	General transcription factor 3C polypeptide 2; Required for RNA polymerase III-mediated transcription. Component of TFIIIC that initiates transcription complex assembly on tRNA and is required for transcription of 5S rRNA and other stable nuclear and cytoplasmic RNAs. May play a direct role in stabilizing interactions of TFIIIC2 with TFIIIC1 (By similarity).
10090.ENSMUSP00000085346	Nms	153	Neuromedin-S; Implicated in the regulation of circadian rhythms through autocrine and/or paracrine actions; Belongs to the NmU family.
10090.ENSMUSP00000085362	Klri1	248	Killer cell lectin-like receptor subfamily I member 1; Lectin-like receptor for natural killer (NK) cells. Heterodimer formation with KLRE1 mediates inhibition of NK cell cytolytic activity.
10090.ENSMUSP00000085365	Krt86	486	Keratin, type II cuticular Hb6; Belongs to the intermediate filament family.
10090.ENSMUSP00000085399	Gm10217	45	Predicted gene 10217.
10090.ENSMUSP00000085416	Ncoa3	1403	Nuclear receptor coactivator 3; Nuclear receptor coactivator that directly binds nuclear receptors and stimulates the transcriptional activities in a hormone- dependent fashion. Plays a central role in creating a multisubunit coactivator complex, probably via remodeling of chromatin. Involved in the coactivation of different nuclear receptors, such as for steroids (GR and ER), retinoids (RARs and RXRs), thyroid hormone (TRs), vitamin D3 (VDR) and prostanoids (PPARs). Displays histone acetyltransferase activity. Also involved in the coactivation of the NF-kappa-B pathway via its interac [...] 
10090.ENSMUSP00000085423	Zfx	799	Zinc finger X-chromosomal protein; Probable transcriptional activator; Belongs to the krueppel C2H2-type zinc-finger protein family. ZFX/ZFY subfamily.
10090.ENSMUSP00000085440	Adgrf3	991	Adhesion G-protein coupled receptor F3; Orphan receptor.
10090.ENSMUSP00000085467	Mettl7a2	244	Methyltransferase-like 7A2.
10090.ENSMUSP00000085471	4930415L06Rik	813	Protein PPP4R3C; Belongs to the SMEK family.
10090.ENSMUSP00000085497	Hs6st2	652	Heparan-sulfate 6-O-sulfotransferase 2; 6-O-sulfation enzyme which catalyzes the transfer of sulfate from 3'-phosphoadenosine 5'-phosphosulfate (PAPS) to position 6 of the N-sulfoglucosamine residue (GlcNS) of heparan sulfate.
10090.ENSMUSP00000085499	Hs6st1	411	Heparan-sulfate 6-O-sulfotransferase 1; 6-O-sulfation enzyme which catalyzes the transfer of sulfate from 3'-phosphoadenosine 5'-phosphosulfate (PAPS) to position 6 of the N-sulfoglucosamine residue (GlcNS) of heparan sulfate. Critical for normal neuronal development where it may play a role in neuron branching. May also play a role in limb development. May prefer iduronic acid.
10090.ENSMUSP00000085528	Obp1b	171	Odorant-binding protein 1b; Binds the chemical odorant 2-isobutyl-3-methoxypyrazine.
10090.ENSMUSP00000085531	Obp1a	163	Odorant-binding protein 1a; Binds the chemical odorant 2-isobutyl-3-methoxypyrazine.
10090.ENSMUSP00000085549	Tbl1x	527	F-box-like/WD repeat-containing protein TBL1X; F-box-like protein involved in the recruitment of the ubiquitin/19S proteasome complex to nuclear receptor-regulated transcription units. Plays an essential role in transcription activation mediated by nuclear receptors. Probably acts as integral component of corepressor complexes that mediates the recruitment of the 19S proteasome complex, leading to the subsequent proteasomal degradation of transcription repressor complexes, thereby allowing cofactor exchange (By similarity); Belongs to the WD repeat EBI family.
10090.ENSMUSP00000085555	Trpt1	249	tRNA 2'-phosphotransferase 1; Catalyzes the last step of tRNA splicing, the transfer of the splice junction 2'-phosphate from ligated tRNA to NAD to produce ADP- ribose 1''-2'' cyclic phosphate; Belongs to the KptA/TPT1 family.
10090.ENSMUSP00000085566	Fmnl3	1028	Formin-like protein 3; Plays a role in the regulation of cell morphology and cytoskeletal organization. Required in the control of cell shape and migration. Required for developmental angiogenesis. In this process, required for microtubule reorganization and for efficient endothelial cell elongation. In quiescent endothelial cells, triggers rearrangement of the actin cytoskeleton, but does not alter microtubule alignement. Belongs to the formin homology family.
10090.ENSMUSP00000085569	Gm10220	267	Predicted gene 10220.
10090.ENSMUSP00000085578	Actr3b	418	Actin-related protein 3B; Plays a role in the organization of the actin cytoskeleton. May function as ATP-binding component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. May decrease the metastatic potential of tumors (By similarity); Belongs to the actin family. ARP3 subfamily.
10090.ENSMUSP00000085580	Tuba3a	450	Tubulin, alpha 3A.
10090.ENSMUSP00000085581	Ube2c	179	Ubiquitin-conjugating enzyme E2 C; Accepts ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins. In vitro catalyzes 'Lys-11'- and 'Lys-48'-linked polyubiquitination. Acts as an essential factor of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated ubiquitin ligase that controls progression through mitosis. Acts by initiating 'Lys-11'-linked polyubiquitin chains on APC/C substrates, leading to the degradation of APC/C substrates by the proteasome and promoting mitotic exit; Belongs to the ubiquitin-conjugating enzyme family.
10090.ENSMUSP00000085594	Wfdc13	81	WAP four-disulfide core domain protein 13; Putative acid-stable proteinase inhibitor.
10090.ENSMUSP00000085625	Rab23	237	Ras-related protein Rab-23; The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different set of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion (By similarity). Plays a role in autophagic vacuole assembly, and mediates defense against pathogens, such as S.aureus, by promoting their capture by autophagosomes that then merge with  [...] 
10090.ENSMUSP00000085632	Acrbp	540	Acrosin-binding protein; May be involved in packaging and condensation of the acrosin zymogen in the acrosomal matrix via its association with proacrosin.
10090.ENSMUSP00000085633	Chpf2	768	Hexosyltransferase.
10090.ENSMUSP00000085642	Iqca1l	825	IQ and AAA domain-containing protein 1-like.
10090.ENSMUSP00000085651	Gbx1	418	Homeobox protein GBX-1.
10090.ENSMUSP00000085683	Mapk8ip3	1337	C-Jun-amino-terminal kinase-interacting protein 3; The JNK-interacting protein (JIP) group of scaffold proteins selectively mediates JNK signaling by aggregating specific components of the MAPK cascade to form a functional JNK signaling module. May function as a regulator of vesicle transport, through interactions with the JNK-signaling components and motor proteins. Promotes neuronal axon elongation in a kinesin- and JNK-dependent manner. Activates cofilin at axon tips via local activation of JNK, thereby regulating filopodial dynamics and enhancing axon elongation. Its binding to kin [...] 
10090.ENSMUSP00000085695	Atn1	1175	Atrophin-1; Transcriptional corepressor. Corepressor of MTG8 transcriptional repression. Has some intrinsic repression activity which is independent of the number of the poly-Q repeats (By similarity). Recruits NR2E1 to repress transcription. Promotes vascular smooth cell (VSMC) migration and orientation.
10090.ENSMUSP00000085712	Srgap3	1099	SLIT-ROBO Rho GTPase-activating protein 3; GTPase-activating protein for RAC1 and perhaps CDC42, but not for RhoA small GTPase. May attenuate RAC1 signaling in neurons (By similarity).
10090.ENSMUSP00000085728	Slc15a1	709	Solute carrier family 15 member 1; Proton-coupled intake of oligopeptides of 2 to 4 amino acids with a preference for dipeptides. May constitute a major route for the absorption of protein digestion end-products (By similarity). Belongs to the PTR2/POT transporter (TC 2.A.17) family.
10090.ENSMUSP00000085734	Srpk2	682	SRSF protein kinase 2 C-terminal; Serine/arginine-rich protein-specific kinase which specifically phosphorylates its substrates at serine residues located in regions rich in arginine/serine dipeptides, known as RS domains and is involved in the phosphorylation of SR splicing factors and the regulation of splicing. Promotes neuronal apoptosis by up-regulating cyclin-D1 (CCND1) expression. This is done by the phosphorylation of SRSF2, leading to the suppression of p53/TP53 phosphorylation thereby relieving the repressive effect of p53/TP53 on cyclin-D1 (CCND1) expression. Phosphorylates  [...] 
10090.ENSMUSP00000085749	Khdc1a	166	KH homology domain-containing protein 1A; Has pro-apoptotic activity.
10090.ENSMUSP00000085763	Mbnl2	373	Muscleblind-like protein 2; Mediates pre-mRNA alternative splicing regulation. Acts either as activator or repressor of splicing on specific pre-mRNA targets. Inhibits cardiac troponin-T (TNNT2) pre-mRNA exon inclusion but induces insulin receptor (IR) pre-mRNA exon inclusion in muscle. Antagonizes the alternative splicing activity pattern of CELF proteins. RNA-binding protein that binds to 5'ACACCC-3' core sequence, termed zipcode, within the 3'UTR of ITGA3. Binds to CUG triplet repeat expansion in myotonic dystrophy muscle cells by sequestering the target RNAs. Seems to regulate expr [...] 
10090.ENSMUSP00000085775	Atp2b3	1220	Calcium-transporting ATPase; This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium.
10090.ENSMUSP00000085794	Pkhd1	4059	Polycystic kidney and hepatic disease 1.
10090.ENSMUSP00000085796	Xlr5c	179	X-linked lymphocyte-regulated protein 5C.
10090.ENSMUSP00000085799	Slc38a1	485	Sodium-coupled neutral amino acid transporter 1; Functions as a sodium-dependent amino acid transporter. Mediates the saturable, pH-sensitive and electrogenic cotransport of glutamine and sodium ions with a stoichiometry of 1:1. May also transport small zwitterionic and aliphatic amino acids with a lower affinity. May supply glutamatergic and GABAergic neurons with glutamine which is required for the synthesis of the neurotransmitters glutamate and GABA.
10090.ENSMUSP00000085802	Clec4b2	208	Antigen presenting cell lectin-like receptor A1.
10090.ENSMUSP00000085806	Gm14685	695	Predicted gene 14685.
10090.ENSMUSP00000085816	Clec4a3	237	C-type lectin domain family 4, member a3.
10090.ENSMUSP00000085826	Pi15	269	Peptidase inhibitor 15; Serine protease inhibitor which displays weak inhibitory activity against trypsin (By similarity). May play a role in facial patterning during embryonic development (By similarity). Belongs to the CRISP family.
10090.ENSMUSP00000085832	Magea10	325	Melanoma antigen family A, 10.
10090.ENSMUSP00000085836	Nnat	129	Neuronatin; May participate in the maintenance of segment identity in the hindbrain and pituitary development, and maturation or maintenance of the overall structure of the nervous system; Belongs to the neuronatin family.
10090.ENSMUSP00000085849	Blcap	87	Bladder cancer-associated protein; May regulate cell proliferation and coordinate apoptosis and cell cycle progression via a novel mechanism independent of both p53/TP53 and NF-kappa-B; Belongs to the BLCAP family.
10090.ENSMUSP00000085862	Dnase1l2	278	Deoxyribonuclease-1-like 2; Divalent cation-dependent acid DNA endonuclease involved in the breakdown of the nucleus during corneocyte formation of epidermal keratinocytes. May play an immune role by eliminating harmful DNA released into the extracellular environment by damaged epidermal cells (By similarity).
10090.ENSMUSP00000085872	Magi2	1275	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2; Seems to act as scaffold molecule at synaptic junctions by assembling neurotransmitter receptors and cell adhesion proteins. Plays a role in nerve growth factor (NGF)-induced recruitment of RAPGEF2 to late endosomes and neurite outgrowth. May play a role in regulating activin-mediated signaling in neuronal cells. Enhances the ability of PTEN to suppress AKT1 activation (By similarity); Belongs to the MAGUK family.
10090.ENSMUSP00000085900	Xkr9	373	XK-related protein 9.
10090.ENSMUSP00000085906	Fmr1	614	Synaptic functional regulator FMR1; Multifunctional polyribosome-associated RNA-binding protein that plays a central role in neuronal development and synaptic plasticity through the regulation of alternative mRNA splicing, mRNA stability, mRNA dendritic transport and postsynaptic local protein synthesis of a subset of mRNAs. Plays a role in the alternative splicing of its own mRNA. Plays a role in mRNA nuclear export. Together with export factor NXF2, is involved in the regulation of the NXF1 mRNA stability in neurons. Stabilizes the scaffolding postsynaptic density protein DLG4/PSD-95 [...] 
10090.ENSMUSP00000085913	Myl9	172	Myosin regulatory light polypeptide 9; Myosin regulatory subunit that plays an important role in regulation of both smooth muscle and nonmuscle cell contractile activity via its phosphorylation. Implicated in cytokinesis, receptor capping, and cell locomotion.
10090.ENSMUSP00000085915	Smgc	733	Submandibular gland protein C.
10090.ENSMUSP00000085921	Pex26	305	Peroxisome assembly protein 26; Probably required for protein import into peroxisomes. Anchors PEX1 and PEX6 to peroxisome membranes, possibly to form heteromeric AAA ATPase complexes required for the import of proteins into peroxisomes. Involved in the import of catalase and proteins containing a PTS2 target sequence, but not in import of proteins with a PTS1 target sequence (By similarity); Belongs to the peroxin-26 family.
10090.ENSMUSP00000085981	Romo1	79	Reactive oxygen species modulator 1; Has antibacterial activity against a variety of bacteria including S.aureus, P.aeruginosa and M.tuberculosis. Acts by inducing bacterial membrane breakage (By similarity); Belongs to the MGR2 family.
10090.ENSMUSP00000085985	Kif21a	1672	Kinesin-like protein KIF21A; Microtubule-binding motor protein probably involved in neuronal axonal transport. In vitro, has a plus-end directed motor activity; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
10090.ENSMUSP00000085986	Arfgef1	1846	Brefeldin A-inhibited guanine nucleotide-exchange protein 1; Promotes guanine-nucleotide exchange on ARF1 and ARF3. Promotes the activation of ARF1/ARF3 through replacement of GDP with GTP. Involved in vesicular trafficking. Required for the maintenance of Golgi structure; the function may be independent of its GEF activity. Required for the maturaion of integrin beta-1 in the Golgi. Involved in the establishment and persistence of cell polarity during directed cell movement in wound healing. Proposed to act as A kinase-anchoring protein (AKAP) and may mediate crosstalk between Arf and [...] 
10090.ENSMUSP00000085993	Srrm2	2607	Serine/arginine repetitive matrix protein 2; Required for pre-mRNA splicing as component of the spliceosome; Belongs to the CWC21 family.
10090.ENSMUSP00000085999	Zic3	466	Zinc finger protein ZIC 3; Acts as transcriptional activator. Required in the earliest stages in both axial midline development and left-right (LR) asymmetry specification. Binds to the minimal GLI-consensus sequence 5'-GGGTGGTC- 3'; Belongs to the GLI C2H2-type zinc-finger protein family.
10090.ENSMUSP00000086017	Wnk1	2635	Serine/threonine-protein kinase WNK1; Serine/threonine kinase which plays an important role in the regulation of electrolyte homeostasis, cell signaling, survival, and proliferation. Acts as an activator and inhibitor of sodium-coupled chloride cotransporters and potassium-coupled chloride cotransporters respectively. Activates SCNN1A, SCNN1B, SCNN1D and SGK1. Controls sodium and chloride ion transport by inhibiting the activity of WNK4, by either phosphorylating the kinase or via an interaction between WNK4 and the autoinhibitory domain of WNK1. WNK4 regulates the activity of the thia [...] 
10090.ENSMUSP00000086022	Proca1	220	Protein PROCA1; Belongs to the PROCA1 family.
10090.ENSMUSP00000086027	Htatsf1	757	HIV Tat-specific factor 1 homolog; Functions as a general transcription factor playing a role in the process of transcriptional elongation. May mediate the reciprocal stimulatory effect of splicing on transcriptional elongation (By similarity).
10090.ENSMUSP00000086028	Ccdc87	855	Coiled-coil domain-containing protein 87; Plays a role in spermatogenesis, where it is important for normal sperm head morphology. Also required for the acrosome reaction and thus normal male fertility; Belongs to the CCDC87 family.
10090.ENSMUSP00000086034	Mybl1	751	Myb-related protein A; Transcription factor that specifically recognizes the sequence 5'-YAAC[GT]G-3'. Acts as a master regulator of male meiosis by promoting expression of piRNAs: activates expression of both piRNA precursor RNAs and expression of protein-coding genes involved in piRNA metabolism, such as PIWIL1. The piRNA metabolic process mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and governs the methylation and subsequent repression of transposons, which is essential for the germline integrity. Transcrip [...] 
10090.ENSMUSP00000086041	Vxn	207	Vexin; Required for neurogenesis in the neural plate and retina. Strongly cooperates with neural bHLH factors to promote neurogenesis ; Belongs to the vexin family.
10090.ENSMUSP00000086052	Htr1d	374	5-hydroxytryptamine receptor 1D; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various alkaloids and psychoactive substances. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity. Regulates the release of 5-hydroxytryptamine in the brain, and thereby affects neural activity. May also play a role in regulating the release of other neurotransmitte [...] 
10090.ENSMUSP00000086074	Zfp945	794	Zinc finger protein 945.
10090.ENSMUSP00000086094	Smarcc1	1104	SWI/SNF complex subunit SMARCC1; Involved in transcriptional activation and repression of select genes by chromatin remodeling (alteration of DNA-nucleosome topology). Component of SWI/SNF chromatin remodeling complexes that carry out key enzymatic activities, changing chromatin structure by altering DNA-histone contacts within a nucleosome in an ATP-dependent manner. May stimulate the ATPase activity of the catalytic subunit of the complex. Belongs to the neural progenitors-specific chromatin remodeling complex (npBAF complex) and the neuron-specific chromatin remodeling complex (nBAF [...] 
10090.ENSMUSP00000086095	Ncaph2	608	Condensin-2 complex subunit H2; Regulatory subunit of the condensin-2 complex, a complex that seems to provide chromosomes with an additional level of organization and rigidity and in establishing mitotic chromosome architecture (By similarity). May promote the resolution of double-strand DNA catenanes (intertwines) between sister chromatids. Condensin-mediated compaction likely increases tension in catenated sister chromatids, providing directionality for type II topoisomerase-mediated strand exchanges toward chromatid decatenation. Required for decatenation of chromatin bridges at an [...] 
